Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,3rd Party Hosting,,,,,,7.089,7.089,6.237,31.185,31.185,31.185,654.885,,,,
FY19,WE,Austria,Dynamics CRM,EPG Commercial,3rd Party Hosting,499.167,539.64,467.688,557.628,647.568,-35.976,274.317,319.287,319.287,382.245,350.766,350.766,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,3rd Party Hosting,985.0806,1407.8436,1998.0516,1435.0032,3466.8396,4112.865,1771.2042,3017.9718,3320.685,2926.0674,2998.9674,3298.137,,,,
FY19,WE,Austria,Forefront Protection,EPG Commercial,3rd Party Hosting,,,,,,,,,,,,32810.4,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,3rd Party Hosting,186.93,94.824,94.824,94.824,497.274,157.896,92.106,250.002,131.58,131.58,131.58,131.58,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,3rd Party Hosting,,,,,,,,,28.08,174.51,174.51,174.51,,,,
FY19,WE,Austria,Office,EPG Commercial,3rd Party Hosting,2435.9148,2380.5678,2419.038,2460.372,3320.844,2737.068,2669.466,4454.136,2708.052,2981.934,3313.53,3016.218,,,,
FY19,WE,Austria,Office 365,EPG Commercial,3rd Party Hosting,7.674,7.674,7.674,7.674,7.674,7.674,7.674,7.674,7.674,7.674,7.674,7.674,,,,
FY19,WE,Austria,Other Server,EPG Commercial,3rd Party Hosting,167.568,167.568,167.568,167.568,167.568,1843.248,167.568,167.568,167.568,167.568,167.568,167.568,,,,
FY19,WE,Austria,Project,EPG Commercial,3rd Party Hosting,,,,222.75,71.28,80.19,80.19,80.19,138.105,138.105,262.845,1657.26,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,3rd Party Hosting,76.206,76.206,37.182,58.32,1694.076,367.296,373.944,400.974,381.894,1046.694,1046.694,1037.154,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,3rd Party Hosting,3800.646,3846.516,23137.566,5331.081,15281.859,43189.242,7690.548,7748.085,25571.25,8112.561,8246.001,78168.9792,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,3rd Party Hosting,4743.102,8037.1572,13330.191,7919.421,19200.351,25678.299,7198.602,14686.851,16119.618,10747.236,10872.546,14901.72,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,3rd Party Hosting,21.6,52.488,52.056,52.056,51.192,51.192,21.6,121.824,52.272,57.024,57.024,57.024,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,3rd Party Hosting,,310.734,310.734,310.734,307.338,307.338,,614.676,324.318,324.318,324.318,6223.938,,,,
FY19,WE,Austria,Visio,EPG Commercial,3rd Party Hosting,,,,50.025,22.425,22.425,26.235,26.235,27.96,27.96,63.744,627.615,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,3rd Party Hosting,982.5984,1014.8544,800.352,810.432,1354.752,941.472,711.648,1844.64,989.856,927.36,947.52,993.888,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,3rd Party Hosting,3332.9574,4774.7298,9600.747,4241.9682,7206.4752,25706.2854,3544.671,5523.9786,10303.9818,5101.9068,5979.9774,48595.6104,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,3rd Party Hosting,240.03,255.555,251.415,267.255,595.014,1023.39,382.572,727.878,430.449,929.706,28033.833,1271.709,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,3rd Party Hosting,2944.611,3235.995,7888.944,3457.131,14121.561,18743.568,6044.046,7388.754,10561.899,6202.548,9246.258,92393.286,,,,
FY19,WE,Austria,Biztalk Server,EPG Commercial,EA Add-On,,,,,4652.04,25713.6,,,,,52849.1538,112165.1555,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA Add-On,4740.42,,,,4636.418,57529.62,-32668.166,,27896.1021,12800.0874,797.46,183468.1962,,,,
FY19,WE,Austria,Dynamics CRM,EPG Commercial,EA Add-On,,,,,,7994.88,,,,,,174441.476,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA Add-On,13935.54,651.12,144.72,,5657.928,530.274,3450.276,,,1591.68,10122.36,19236.636,,,,
FY19,WE,Austria,Forefront Protection,EPG Commercial,EA Add-On,144.48,-144.48,,,,,,,,,,,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,EA Add-On,,,,,20969.496,2926.3285,,,83197.152,12958.44,2411.64,17212.8894,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA Add-On,7618.56,12977.3856,5631.0432,2211.84,22256.1248,144154.0667,30388.0331,5283.84,21019.0881,7174.3802,3438.9197,101061.1612,,,,
FY19,WE,Austria,IW CAL Suites - ECAL,EPG Commercial,EA Add-On,,,3433.3279,,,23523.5943,,,,,,130361.1711,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA Add-On,,,,,3995.664,,,,,6613.38,1411.5,109614.991,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA Add-On,,,,,356.1613,4028.6024,1036.6798,,497.786,,,3719.822,,,,
FY19,WE,Austria,Office,EPG Commercial,EA Add-On,23595.96,43783.143,26520.4432,7963.56,77179.5888,277141.063,129962.22,18591.18,81070.117,40967.6758,11189.04,694761.5979,,,,
FY19,WE,Austria,Office 365,EPG Commercial,EA Add-On,,,,,,456.1896,,,,,,,,,,
FY19,WE,Austria,OSD Subs & Trans OSD SMSG,EPG Commercial,EA Add-On,,2614.0653,,,,,515.1858,,,,503.0226,,,,,
